time;x;y;z;gforce
5,6060;0,5082;-0,9147;0,0195;1,047
5,6080;0,5120;-0,9264;0,0234;1,059
5,6100;0,5277;-0,9186;0,0312;1,060
5,6120;0,5629;-0,9224;0,0508;1,082
5,6200;0,5550;-0,9264;0,0703;1,082
5,6250;0,5159;-0,9303;0,0273;1,064
5,6360;0,4964;-0,9147;0,0116;1,041
5,6790;0,4924;-0,9068;0,0000;1,032
5,6820;0,5315;-0,8834;0,0116;1,031
5,6840;0,5902;-0,8951;0,0664;1,074
5,6850;0,5863;-0,8756;0,0351;1,054
5,6890;0,5746;-0,9303;0,0273;1,094
5,6960;0,5590;-0,9224;0,0312;1,079
5,7100;0,5355;-0,9068;0,0468;1,054
5,7140;0,5120;-0,8951;0,0547;1,033
5,7300;0,4768;-0,8678;0,0624;0,992
5,7340;0,4691;-0,8678;0,0624;0,988
5,7440;0,4573;-0,8795;0,0547;0,993
5,7540;0,4651;-0,8678;0,0312;0,985
5,8040;0,4730;-0,8678;0,0234;0,989
5,8060;0,4847;-0,8795;0,0116;1,004
5,8080;0,4924;-0,8951;0,0156;1,022
5,8100;0,4964;-0,9107;0,0351;1,038
5,8130;0,4886;-0,9147;0,0039;1,037
5,8150;0,4964;-0,8795;0,0508;1,011
5,8240;0,5003;-0,8443;0,0586;0,983
5,8380;0,4847;-0,8795;0,0547;1,006
5,8440;0,4612;-0,9342;0,0351;1,042
5,8550;0,4691;-0,9303;0,0156;1,042
5,8650;0,4964;-0,8951;0,0195;1,024
5,8740;0,5159;-0,8795;-0,0116;1,020
5,9190;0,5315;-0,9147;0,0234;1,058
5,9220;0,5433;-0,9772;0,0156;1,118
5,9240;0,5629;-0,9420;0,0000;1,097
5,9250;0,5472;-0,8951;0,0430;1,050
5,9270;0,5277;-0,8716;0,0508;1,020
5,9380;0,4730;-0,8912;0,0273;1,009
5,9440;0,4495;-0,9068;0,0234;1,012
5,9570;0,4416;-0,8951;0,0039;0,998
5,9640;0,4495;-0,8834;0,0039;0,991
5,9740;0,4456;-0,8912;0,0000;0,996
6,0190;0,4573;-0,9030;0,0000;1,012
6,0210;0,4924;-0,9107;0,0078;1,035
6,0240;0,5120;-0,9030;0,0156;1,038
6,0250;0,5120;-0,9068;0,0156;1,042
6,0290;0,5042;-0,9224;0,0156;1,051
6,0360;0,5003;-0,9303;0,0039;1,056
6,0480;0,4886;-0,9382;0,0078;1,058
6,0550;0,4964;-0,9147;0,0116;1,041
6,0640;0,5277;-0,8404;-0,0859;0,996
6,1060;0,4221;-0,9224;0,0586;1,016
6,1080;0,4807;-0,8599;-0,0624;0,987
6,1100;0,5667;-0,9342;0,0391;1,093
6,1120;0,5355;-0,9967;-0,0116;1,132
6,1140;0,5550;-0,9538;-0,0234;1,104
6,1260;0,5707;-0,8951;-0,0195;1,062
6,1340;0,5394;-0,8912;-0,0116;1,042
6,1440;0,5082;-0,8990;0,0039;1,033
6,1540;0,5042;-0,9030;-0,0156;1,034
6,1980;0,4847;-0,9030;-0,0312;1,025
6,2000;0,4847;-0,8990;-0,0234;1,022
6,2040;0,4807;-0,8834;-0,0195;1,006
6,2060;0,4768;-0,8756;-0,0039;0,997
6,2080;0,4730;-0,8678;0,0039;0,988
6,2150;0,4691;-0,8756;0,0116;0,993
6,2250;0,4768;-0,8873;0,0234;1,008
6,2350;0,4847;-0,8912;0,0234;1,015
6,2440;0,4886;-0,8912;0,0351;1,017
6,2540;0,4886;-0,8912;0,0391;1,017
6,2940;0,4924;-0,8834;0,0468;1,012
6,2960;0,5082;-0,8951;0,0468;1,030
6,2980;0,5238;-0,9107;0,0430;1,051
6,3000;0,5355;-0,9107;0,0430;1,057
6,3040;0,5355;-0,9186;0,0312;1,064
6,3210;0,5277;-0,9107;0,0195;1,053
6,3280;0,4886;-0,9107;0,0273;1,034
6,3400;0,4730;-0,9186;0,0430;1,034
6,3440;0,4807;-0,8951;0,0351;1,017
6,3540;0,4768;-0,8912;0,0391;1,012
6,4260;0,4651;-0,9068;0,0273;1,020
6,4320;0,4534;-0,9186;0,0234;1,025
6,4340;0,4573;-0,9147;0,0156;1,023
6,4360;0,4495;-0,9147;0,0116;1,019
6,6920;0,4534;-0,9147;0,0039;1,021
6,6940;0,4691;-0,9186;-0,0039;1,031
6,6960;0,4924;-0,9186;-0,0078;1,042
6,6980;0,4924;-0,9303;0,0000;1,053
6,7000;0,4964;-0,9224;0,0078;1,048
6,7010;0,4847;-0,9068;0,0000;1,028
6,7040;0,4651;-0,9147;0,0273;1,027
6,7060;0,4768;-0,9107;0,0195;1,028
6,7070;0,4730;-0,9068;-0,0039;1,023
