time;x;y;z;gforce
3.7600;0.6410;-0.7661;0.2071;1.020
3.7620;0.6449;-0.7700;0.2071;1.026
3.7640;0.6528;-0.7740;0.2110;1.034
3.7660;0.6645;-0.7740;0.2110;1.042
3.7690;0.6645;-0.7740;0.1993;1.039
3.7710;0.6566;-0.7700;0.1993;1.031
3.7810;0.6528;-0.7661;0.1915;1.025
3.7930;0.6528;-0.7661;0.1876;1.024
3.8000;0.6566;-0.7661;0.1837;1.026
3.8100;0.6528;-0.7661;0.1681;1.020
3.8210;0.6528;-0.7622;0.1798;1.020
3.8410;0.6410;-0.7740;0.2033;1.025
3.8430;0.6489;-0.7700;0.1993;1.026
3.8500;0.6566;-0.7779;0.2110;1.040
3.8940;0.6606;-0.7779;0.2110;1.042
3.8970;0.6449;-0.7740;0.2071;1.029
3.9010;0.6566;-0.7700;0.1954;1.031
3.9030;0.6606;-0.7700;0.1876;1.032
3.9040;0.6489;-0.7740;0.1993;1.029
3.9120;0.6528;-0.7779;0.2033;1.036
3.9230;0.6489;-0.7700;0.2071;1.028
3.9310;0.6528;-0.7661;0.1954;1.025
3.9410;0.6489;-0.7622;0.2071;1.022
3.9890;0.6528;-0.7661;0.2149;1.029
3.9920;0.6566;-0.7622;0.2228;1.030
3.9940;0.6566;-0.7661;0.2110;1.031
3.9950;0.6528;-0.7700;0.1993;1.029
3.9970;0.6449;-0.7700;0.1954;1.023
4.0000;0.6489;-0.7505;0.1915;1.010
4.0100;0.6528;-0.7622;0.1954;1.022
4.0230;0.6566;-0.7622;0.1954;1.025
4.0310;0.6566;-0.7700;0.1993;1.031
4.0410;0.6528;-0.7817;0.2110;1.040
4.0840;0.6528;-0.7740;0.2228;1.037
4.0870;0.6528;-0.7622;0.2228;1.028
4.0890;0.6528;-0.7583;0.2149;1.023
4.0910;0.6489;-0.7505;0.2110;1.014
4.1030;0.6566;-0.7622;0.1837;1.023
4.1190;0.6566;-0.7661;0.1876;1.026
4.1230;0.6606;-0.7700;0.1915;1.032
4.1320;0.6645;-0.7700;0.1915;1.035
4.1400;0.6723;-0.7583;0.1993;1.033
4.1530;0.6684;-0.7661;0.1954;1.035
4.1600;0.6606;-0.7700;0.1915;1.032
4.2050;0.6645;-0.7700;0.1954;1.036
4.2070;0.6645;-0.7622;0.1993;1.031
4.2090;0.6645;-0.7661;0.1954;1.033
4.2130;0.6723;-0.7740;0.1915;1.043
4.2200;0.6684;-0.7622;0.1837;1.030
4.2380;0.6645;-0.7622;0.1719;1.026
4.2410;0.6801;-0.7505;0.1758;1.028
4.2570;0.6801;-0.7583;0.1641;1.032
4.2600;0.6801;-0.7622;0.1602;1.034
4.2700;0.6762;-0.7622;0.1641;1.032
4.8030;0.6801;-0.7622;0.1563;1.033
4.8050;0.6880;-0.7544;0.1641;1.034
4.8070;0.6801;-0.7661;0.1524;1.036
4.8090;0.6566;-0.7935;0.1250;1.037
4.8110;0.6371;-0.8131;0.1524;1.044
4.8130;0.6880;-0.7232;0.1250;1.006
4.8140;0.6957;-0.7349;0.1290;1.020
4.8160;0.6997;-0.7505;0.1485;1.037
4.8170;0.6880;-0.7622;0.1446;1.037
4.8200;0.6762;-0.7779;0.1172;1.037
4.8220;0.6723;-0.7779;0.1055;1.034
4.8240;0.6841;-0.7661;0.0624;1.029
4.8260;0.7935;-0.7544;0.1055;1.100
4.8280;0.7896;-0.7465;0.0859;1.090
4.8320;0.7388;-0.7074;0.1290;1.031
4.8850;0.7074;-0.7192;0.1016;1.014
4.8870;0.6684;-0.7505;0.0508;1.006
4.8900;0.6957;-0.7544;0.0430;1.027
4.8910;0.7270;-0.7465;0.0468;1.043
4.8950;0.7388;-0.7465;0.0351;1.051
