time,x,y,z
18:36:01:948,-0.09,0.27,-0.09
18:36:01:958,-0.09,0.14,-0.09
18:36:02:4,-0.07,0.05,-0.14
18:36:02:8,-0.03,0.07,-0.15
18:36:02:10,0.02,0.18,-0.06
18:36:02:12,0.08,0.28,-0.03
18:36:02:14,0.09,0.42,0.04
18:36:02:16,0.05,0.49,0.12
18:36:02:26,-0.04,0.42,0.07
18:36:02:44,-0.16,0.25,0.06
18:36:02:48,-0.27,0.00,0.10
18:36:02:60,-0.33,-0.25,0.09
18:36:02:64,-0.31,-0.36,0.12
18:36:02:105,-0.19,-0.32,0.15
18:36:02:108,0.00,-0.15,0.13
18:36:02:110,0.19,0.12,0.17
18:36:02:112,0.33,0.30,0.20
18:36:02:114,0.38,0.39,0.19
18:36:02:126,0.36,0.34,0.21
18:36:02:133,0.27,0.12,0.19
18:36:02:145,0.19,-0.15,0.15
18:36:02:179,0.11,-0.41,0.13
18:36:02:181,0.05,-0.57,0.07
18:36:02:183,0.02,-0.55,0.11
18:36:02:185,-0.01,-0.47,0.13
18:36:02:194,-0.12,-0.46,0.12
18:36:02:201,-0.29,-0.48,0.27
18:36:02:210,-0.39,-0.74,0.19
18:36:02:225,-0.45,-1.04,0.13
18:36:02:230,-0.45,-1.25,0.12
18:36:02:242,-0.37,-1.47,-0.02
18:36:02:249,-0.36,-1.48,0.02
18:36:02:259,-0.35,-1.40,0.08
18:36:02:295,-0.36,-1.26,0.08
18:36:02:298,-0.34,-1.04,0.10
18:36:02:299,-0.31,-0.77,0.09
18:36:02:301,-0.26,-0.51,0.06
18:36:02:311,-0.15,-0.31,0.04
18:36:02:318,-0.00,-0.26,-0.03
18:36:02:327,0.15,-0.38,-0.15
18:36:02:339,0.24,-0.57,-0.22
18:36:02:346,0.29,-0.76,-0.30
18:36:02:377,0.22,-0.81,-0.32
18:36:02:379,0.13,-0.72,-0.28
18:36:02:380,0.04,-0.55,-0.28
18:36:02:390,-0.05,-0.28,-0.25
18:36:02:395,-0.08,-0.05,-0.25
18:36:02:406,-0.10,0.14,-0.26
18:36:02:414,-0.04,0.32,-0.29
18:36:02:424,0.06,0.41,-0.33
18:36:02:434,0.23,0.47,-0.40
18:36:02:444,0.44,0.55,-0.50
18:36:02:481,0.59,0.64,-0.57
18:36:02:484,0.69,0.73,-0.63
18:36:02:488,0.72,0.81,-0.70
18:36:02:489,0.67,0.75,-0.72
18:36:02:497,0.55,0.55,-0.73
18:36:02:507,0.36,0.31,-0.71
18:36:02:512,0.16,0.11,-0.60
18:36:02:523,-0.11,-0.02,-0.51
18:36:02:531,-0.34,-0.10,-0.41
18:36:02:541,-0.53,-0.15,-0.36
18:36:02:712,-0.72,-0.20,-0.38
18:36:02:713,-0.81,-0.16,-0.38
18:36:02:715,-0.86,-0.03,-0.42
18:36:02:717,-0.87,0.18,-0.45
18:36:02:718,-0.79,0.37,-0.46
18:36:02:719,-0.70,0.55,-0.47
18:36:02:721,-0.57,0.71,-0.42
18:36:02:722,-0.37,0.77,-0.42
18:36:02:724,-0.24,0.79,-0.42
18:36:02:725,-0.05,0.90,-0.39
18:36:02:727,0.04,0.82,-0.43
18:36:02:729,0.08,0.80,-0.38
18:36:02:730,0.05,0.35,-0.12
18:36:02:731,-0.05,0.23,-0.09
18:36:02:764,-0.18,0.16,-0.07
18:36:02:766,-0.32,0.11,-0.02
18:36:02:768,-0.43,0.06,0.02
18:36:02:771,-0.47,-0.08,0.06
18:36:02:778,-0.47,-0.29,0.08
18:36:02:784,-0.42,-0.52,0.08
18:36:02:815,-0.35,-0.73,0.05
18:36:02:817,-0.28,-0.81,0.03
18:36:02:820,-0.21,-0.80,0.01
18:36:02:828,-0.13,-0.73,0.01
18:36:02:833,-0.07,-0.61,0.02
18:36:02:843,-0.00,-0.49,0.05
18:36:02:856,0.05,-0.44,0.06
18:36:02:862,0.14,-0.24,0.12
18:36:02:873,0.14,-0.12,0.08
18:36:02:881,0.14,-0.09,0.07
18:36:02:916,0.12,-0.03,0.10
18:36:02:920,0.04,-0.21,0.09
18:36:02:923,0.06,-0.37,0.18
18:36:02:925,0.04,-0.48,0.21
18:36:02:933,0.02,-0.54,0.24
18:36:02:942,-0.00,-0.49,0.25
18:36:02:949,-0.03,-0.41,0.27
18:36:02:959,-0.03,-0.33,0.31
18:36:02:969,0.00,-0.26,0.32
18:36:03:8,0.05,-0.25,0.34
18:36:03:11,0.11,-0.20,0.34
18:36:03:13,0.20,-0.12,0.32
18:36:03:15,0.29,-0.03,0.27
18:36:03:18,0.40,0.07,0.27
18:36:03:28,0.64,0.09,0.24
18:36:03:40,0.93,0.08,0.17
18:36:03:49,1.10,0.05,0.11
18:36:03:58,1.06,0.05,0.05
18:36:03:66,0.77,0.05,0.05
18:36:03:76,0.39,0.04,0.13
18:36:03:86,0.14,0.04,0.19
18:36:03:123,0.09,0.04,0.22
18:36:03:127,0.13,0.10,0.20
18:36:03:128,0.20,0.24,0.16
18:36:03:130,0.27,0.43,0.16
18:36:03:134,0.40,0.68,0.15
18:36:03:144,0.57,0.89,0.12
18:36:03:159,0.69,0.93,0.11
18:36:03:164,0.71,0.76,0.08
18:36:03:176,0.58,0.41,0.07
18:36:03:184,0.35,0.02,0.07
18:36:03:225,0.17,-0.25,0.09
18:36:03:227,0.04,-0.36,0.13
18:36:03:228,-0.08,-0.31,0.20
18:36:03:230,-0.22,-0.17,0.26
18:36:03:232,-0.35,-0.02,0.30
18:36:03:241,-0.42,0.03,0.30
18:36:03:251,-0.38,-0.02,0.28
18:36:03:260,-0.28,-0.12,0.25
18:36:03:294,-0.17,-0.22,0.21
18:36:03:296,-0.11,-0.24,0.15
18:36:03:298,-0.06,-0.13,0.13
18:36:03:300,-0.00,0.05,0.14
18:36:03:309,0.08,0.21,0.17
18:36:03:319,0.20,0.35,0.20
18:36:03:329,0.33,0.40,0.23
18:36:03:341,0.48,0.39,0.21
18:36:03:348,0.58,0.38,0.18
18:36:03:358,0.60,0.35,0.13
18:36:03:367,0.57,0.31,0.07
18:36:03:377,0.50,0.30,0.01
18:36:03:388,0.41,0.30,-0.04
18:36:03:431,0.31,0.38,-0.08
18:36:03:434,0.20,0.55,-0.13
18:36:03:437,0.11,0.76,-0.15
18:36:03:440,0.02,0.89,-0.16
18:36:03:442,-0.06,0.87,-0.12
18:36:03:451,-0.17,0.73,-0.08
18:36:03:467,-0.27,0.50,-0.01
18:36:03:472,-0.31,0.28,0.08
18:36:03:475,-0.26,0.14,0.13
18:36:03:490,-0.11,0.04,0.17
18:36:03:533,0.07,-0.07,0.17
18:36:03:536,0.25,-0.18,0.16
18:36:03:538,0.41,-0.33,0.17
18:36:03:541,0.50,-0.42,0.19
18:36:03:544,0.49,-0.39,0.24
18:36:03:546,0.37,-0.34,0.30
18:36:03:554,0.24,-0.29,0.36
18:36:03:562,0.12,-0.30,0.39
18:36:03:702,0.06,-0.36,0.40
18:36:03:703,0.06,-0.39,0.37
18:36:03:705,0.11,-0.37,0.33
18:36:03:706,0.23,-0.31,0.30
18:36:03:708,0.44,-0.18,0.29
18:36:03:709,0.57,-0.05,0.32
18:36:03:710,0.60,0.05,0.36
18:36:03:712,0.55,0.11,0.42
18:36:03:713,0.42,0.03,0.45
18:36:03:714,0.32,-0.12,0.47
18:36:03:716,0.25,-0.23,0.46
18:36:03:717,0.18,-0.31,0.47
18:36:03:719,0.11,-0.46,0.46
18:36:03:720,0.12,-0.48,0.47
18:36:03:727,0.13,-0.48,0.50
18:36:03:737,0.12,-0.48,0.53
18:36:03:768,0.04,-0.45,0.57
18:36:03:770,-0.06,-0.31,0.58
18:36:03:772,-0.14,-0.06,0.58
18:36:03:779,-0.16,0.18,0.54
18:36:03:785,-0.16,0.32,0.48
18:36:03:795,-0.19,0.34,0.42
18:36:03:808,-0.21,0.23,0.37
18:36:03:815,-0.17,0.13,0.34
18:36:03:825,-0.07,0.08,0.31
18:36:03:834,-0.00,0.08,0.33
18:36:03:869,-0.06,0.09,0.32
18:36:03:874,-0.23,0.09,0.29
18:36:03:875,-0.40,0.05,0.22
18:36:03:877,-0.47,0.02,0.09
18:36:03:882,-0.42,0.02,-0.05
18:36:03:892,-0.34,0.01,-0.18
18:36:03:902,-0.13,-0.00,-0.27
18:36:03:912,0.20,-0.02,-0.30
18:36:03:950,0.50,0.03,-0.29
18:36:03:954,0.69,0.14,-0.24
18:36:03:957,0.68,0.26,-0.21
18:36:03:959,0.46,0.38,-0.18
18:36:03:961,0.17,0.45,-0.14
18:36:03:970,-0.09,0.40,-0.09
18:36:03:980,-0.35,0.08,-0.07
18:36:03:992,-0.52,-0.46,-0.06
18:36:03:999,-0.56,-1.06,-0.05
18:36:04:10,-0.45,-1.40,-0.04
18:36:04:19,-0.21,-1.31,-0.00
18:36:04:29,0.04,-0.85,0.03
18:36:04:74,0.21,-0.24,0.09
18:36:04:78,0.25,0.28,0.12
18:36:04:80,0.16,0.61,0.15
18:36:04:81,0.04,0.75,0.14
18:36:04:83,-0.04,0.71,0.08
18:36:04:87,-0.09,0.49,-0.03
18:36:04:97,-0.09,0.20,-0.17
18:36:04:110,-0.07,-0.03,-0.29
18:36:04:116,-0.02,-0.12,-0.39
18:36:04:127,0.12,-0.04,-0.46
18:36:04:135,0.25,0.20,-0.49
18:36:04:175,0.34,0.49,-0.48
18:36:04:178,0.35,0.75,-0.42
18:36:04:180,0.25,0.90,-0.36
18:36:04:182,0.11,0.76,-0.33
18:36:04:184,-0.06,0.42,-0.31
18:36:04:194,-0.25,0.04,-0.26
18:36:04:204,-0.35,-0.09,-0.10
18:36:04:214,-0.45,-0.04,0.04
18:36:04:227,-0.51,0.04,0.01
18:36:04:233,-0.48,0.11,-0.10
18:36:04:275,-0.39,0.05,-0.28
18:36:04:278,-0.24,-0.00,-0.38
18:36:04:281,-0.06,0.00,-0.35
18:36:04:283,0.10,0.02,-0.29
18:36:04:285,0.16,-0.04,-0.26
18:36:04:294,0.14,-0.10,-0.25
18:36:04:301,0.05,-0.14,-0.25
18:36:04:311,-0.08,-0.16,-0.25
18:36:04:320,-0.21,-0.15,-0.26
18:36:04:360,-0.31,-0.10,-0.30
18:36:04:363,-0.36,-0.05,-0.35
