time,x,y,z
18:22:38:173,-0.35,-0.08,-1.87
18:22:38:183,-0.31,0.10,-1.76
18:22:38:218,-0.34,0.29,-1.69
18:22:38:222,-0.37,0.39,-1.65
18:22:38:224,-0.36,0.35,-1.62
18:22:38:226,-0.31,0.18,-1.64
18:22:38:231,-0.22,-0.10,-1.62
18:22:38:242,-0.16,-0.38,-1.58
18:22:38:256,-0.18,-0.57,-1.52
18:22:38:261,-0.28,-0.62,-1.40
18:22:38:272,-0.36,-0.53,-1.30
18:22:38:280,-0.37,-0.35,-1.26
18:22:38:290,-0.33,-0.15,-1.25
18:22:38:300,-0.26,0.02,-1.24
18:22:38:511,-0.21,0.08,-1.20
18:22:38:513,-0.19,0.02,-1.12
18:22:38:514,-0.18,-0.13,-1.05
18:22:38:516,-0.13,-0.30,-0.95
18:22:38:517,-0.19,-0.48,-0.94
18:22:38:518,-0.18,-0.61,-0.90
18:22:38:520,-0.18,-0.65,-0.82
18:22:38:521,-0.24,-0.63,-0.75
18:22:38:523,-0.19,-0.56,-0.64
18:22:38:524,-0.22,-0.48,-0.61
18:22:38:526,-0.21,-0.39,-0.63
18:22:38:527,-0.12,-0.35,-0.68
18:22:38:528,-0.38,-0.66,-1.29
18:22:38:530,-0.46,-0.43,-1.29
18:22:38:560,-0.48,-0.45,-1.45
18:22:38:562,-0.37,-0.63,-1.45
18:22:38:564,-0.21,-0.88,-1.40
18:22:38:565,-0.01,-1.02,-1.50
18:22:38:574,0.09,-0.95,-1.49
18:22:38:582,0.10,-0.75,-1.53
18:22:38:607,-0.01,-0.51,-1.51
18:22:38:610,-0.17,-0.37,-1.36
18:22:38:612,-0.36,-0.28,-1.21
18:22:38:622,-0.57,-0.27,-1.17
18:22:38:630,-0.67,-0.33,-1.22
18:22:38:656,-0.61,-0.47,-1.28
18:22:38:659,-0.42,-0.66,-1.33
18:22:38:662,-0.16,-0.84,-1.35
18:22:38:674,0.06,-0.96,-1.40
18:22:38:679,0.15,-1.06,-1.45
18:22:38:689,0.07,-1.15,-1.46
18:22:38:698,-0.11,-1.21,-1.40
18:22:38:708,-0.29,-1.21,-1.28
18:22:38:744,-0.47,-1.12,-1.17
18:22:38:747,-0.56,-0.97,-1.06
18:22:38:749,-0.53,-0.81,-1.01
18:22:38:751,-0.38,-0.65,-1.02
18:22:38:762,-0.10,-0.55,-1.06
18:22:38:768,0.20,-0.52,-1.09
18:22:38:777,0.41,-0.59,-1.08
18:22:38:788,0.46,-0.74,-1.03
18:22:38:796,0.36,-0.93,-0.91
18:22:38:806,0.20,-1.12,-0.77
18:22:38:816,0.07,-1.24,-0.62
18:22:38:825,-0.01,-1.28,-0.51
18:22:38:871,-0.04,-1.24,-0.49
18:22:38:874,-0.04,-1.11,-0.51
18:22:38:876,-0.02,-0.94,-0.58
18:22:38:878,-0.02,-0.72,-0.63
18:22:38:880,-0.04,-0.51,-0.63
18:22:38:883,-0.01,-0.33,-0.62
18:22:38:894,0.03,-0.27,-0.58
18:22:38:938,0.09,-0.31,-0.52
18:22:38:942,0.11,-0.37,-0.42
18:22:38:944,0.05,-0.42,-0.29
18:22:38:946,-0.06,-0.48,-0.19
18:22:38:947,-0.16,-0.51,-0.14
18:22:38:958,-0.17,-0.49,-0.17
18:22:38:961,-0.12,-0.44,-0.24
18:22:38:975,-0.05,-0.34,-0.33
18:22:38:981,0.03,-0.25,-0.39
18:22:38:993,0.09,-0.18,-0.43
18:22:39:1,0.16,-0.12,-0.45
18:22:39:11,0.28,-0.05,-0.44
18:22:39:48,0.38,0.03,-0.38
18:22:39:51,0.42,0.07,-0.26
18:22:39:54,0.34,0.02,-0.13
18:22:39:57,0.20,-0.09,0.01
18:22:39:59,0.04,-0.22,0.13
18:22:39:69,-0.09,-0.33,0.20
18:22:39:79,-0.19,-0.41,0.21
18:22:39:89,-0.28,-0.44,0.15
18:22:39:98,-0.35,-0.47,0.06
18:22:39:108,-0.36,-0.49,-0.07
18:22:39:118,-0.32,-0.47,-0.16
18:22:39:159,-0.26,-0.42,-0.23
18:22:39:163,-0.20,-0.35,-0.27
18:22:39:165,-0.16,-0.28,-0.26
18:22:39:169,-0.17,-0.24,-0.20
18:22:39:171,-0.22,-0.22,-0.14
18:22:39:179,-0.30,-0.20,-0.10
18:22:39:191,-0.40,-0.19,-0.13
