time,x,y,z
18:09:59:89,1.52,0.11,-1.38
18:09:59:98,1.41,0.07,-1.42
18:09:59:134,1.19,0.06,-1.55
18:09:59:138,0.89,-0.00,-1.66
18:09:59:140,0.56,-0.08,-1.74
18:09:59:143,0.26,-0.10,-1.73
18:09:59:147,0.03,-0.13,-1.63
18:09:59:156,-0.12,-0.17,-1.45
18:09:59:166,-0.20,-0.21,-1.21
18:09:59:176,-0.33,-0.27,-0.94
18:09:59:219,-0.53,-0.27,-0.71
18:09:59:221,-0.74,-0.22,-0.50
18:09:59:223,-0.91,-0.10,-0.37
18:09:59:226,-1.06,0.03,-0.31
18:09:59:228,-1.12,0.05,-0.33
18:09:59:239,-1.16,0.03,-0.40
18:09:59:244,-1.28,-0.08,-0.51
18:09:59:257,-1.42,-0.22,-0.71
18:09:59:264,-1.50,-0.29,-0.88
18:09:59:273,-1.49,-0.42,-1.00
18:09:59:285,-1.33,-0.52,-1.05
18:09:59:323,-1.07,-0.60,-0.96
18:09:59:326,-0.83,-0.71,-0.86
18:09:59:329,-0.70,-0.73,-0.76
18:09:59:331,-0.65,-0.71,-0.65
18:09:59:333,-0.67,-0.65,-0.56
18:09:59:342,-0.74,-0.53,-0.48
18:09:59:355,-0.84,-0.43,-0.39
18:09:59:365,-0.97,-0.37,-0.33
18:09:59:372,-1.12,-0.31,-0.28
18:09:59:388,-1.23,-0.35,-0.25
18:09:59:390,-1.29,-0.41,-0.24
18:09:59:400,-1.34,-0.47,-0.22
18:09:59:434,-1.39,-0.55,-0.22
18:09:59:436,-1.47,-0.53,-0.21
18:09:59:438,-1.56,-0.44,-0.22
18:09:59:440,-1.60,-0.34,-0.23
18:09:59:504,-1.58,-0.24,-0.24
18:09:59:506,-1.51,-0.16,-0.24
18:09:59:508,-1.41,-0.17,-0.24
18:09:59:509,-1.33,-0.20,-0.23
18:09:59:510,-1.27,-0.28,-0.22
18:09:59:512,-1.20,-0.40,-0.19
18:09:59:513,-1.12,-0.49,-0.17
18:09:59:520,-1.02,-0.53,-0.16
18:09:59:526,-0.91,-0.49,-0.14
18:09:59:540,-0.85,-0.40,-0.14
18:09:59:546,-0.79,-0.27,-0.14
18:09:59:582,-0.69,-0.18,-0.11
18:09:59:584,-0.57,-0.11,-0.08
18:09:59:586,-0.42,-0.07,-0.04
18:09:59:588,-0.30,-0.08,0.03
18:09:59:595,-0.23,-0.06,0.07
18:09:59:628,-0.23,-0.06,0.12
18:09:59:630,-0.24,-0.05,0.17
18:09:59:631,-0.25,-0.05,0.23
18:09:59:633,-0.25,-0.06,0.29
18:09:59:643,-0.25,-0.11,0.34
18:09:59:656,-0.27,-0.15,0.38
18:09:59:662,-0.32,-0.15,0.39
18:09:59:672,-0.34,-0.14,0.39
18:09:59:682,-0.33,-0.14,0.37
18:09:59:712,-0.32,-0.17,0.34
18:09:59:715,-0.28,-0.23,0.30
18:09:59:716,-0.23,-0.30,0.27
18:09:59:725,-0.10,-0.34,0.23
18:09:59:731,0.06,-0.36,0.21
18:09:59:741,0.18,-0.37,0.18
18:09:59:752,0.20,-0.37,0.15
18:09:59:760,0.10,-0.39,0.14
18:09:59:773,-0.03,-0.36,0.11
18:09:59:779,-0.13,-0.32,0.08
18:09:59:789,-0.09,-0.32,0.07
18:09:59:799,0.07,-0.36,0.05
18:09:59:845,0.25,-0.38,0.05
18:09:59:849,0.40,-0.34,0.05
18:09:59:854,0.48,-0.21,0.06
18:09:59:857,0.49,-0.04,0.07
18:09:59:859,0.45,0.15,0.10
18:09:59:861,0.42,0.29,0.13
18:09:59:870,0.43,0.38,0.16
18:09:59:877,0.47,0.39,0.20
18:09:59:890,0.58,0.34,0.23
18:09:59:896,0.66,0.29,0.25
18:09:59:939,0.66,0.29,0.25
18:09:59:942,0.58,0.33,0.25
18:09:59:945,0.47,0.40,0.24
18:09:59:947,0.32,0.45,0.21
18:09:59:949,0.15,0.44,0.12
18:09:59:958,0.02,0.43,0.03
18:09:59:964,-0.10,0.39,-0.06
18:09:59:974,-0.16,0.34,-0.17
18:09:59:984,-0.22,0.34,-0.24
18:10:00:14,-0.32,0.31,-0.29
18:10:00:16,-0.41,0.29,-0.33
18:10:00:17,-0.50,0.28,-0.32
18:10:00:28,-0.56,0.26,-0.30
18:10:00:33,-0.58,0.22,-0.28
18:10:00:42,-0.57,0.20,-0.25
18:10:00:52,-0.49,0.17,-0.22
18:10:00:62,-0.35,0.15,-0.19
18:10:00:73,-0.17,0.18,-0.16
18:10:00:81,-0.00,0.25,-0.14
18:10:00:91,0.09,0.33,-0.11
18:10:00:101,0.12,0.40,-0.09
18:10:00:138,0.10,0.44,-0.04
18:10:00:141,0.05,0.42,0.01
18:10:00:143,0.02,0.36,0.06
18:10:00:145,-0.00,0.27,0.11
18:10:00:149,-0.00,0.20,0.14
18:10:00:159,0.03,0.16,0.16
18:10:00:169,0.04,0.14,0.13
18:10:00:179,0.00,0.14,0.09
18:10:00:220,-0.10,0.10,0.05
18:10:00:223,-0.26,0.07,0.03
18:10:00:225,-0.41,0.03,0.05
18:10:00:227,-0.49,-0.02,0.08
18:10:00:229,-0.49,-0.04,0.09
18:10:00:237,-0.46,-0.01,0.08
18:10:00:247,-0.40,0.04,0.04
18:10:00:260,-0.38,0.11,-0.01
18:10:00:266,-0.35,0.14,-0.06
18:10:00:276,-0.33,0.14,-0.11
18:10:00:286,-0.31,0.12,-0.14
18:10:00:342,-0.30,0.09,-0.18
18:10:00:346,-0.29,0.06,-0.22
18:10:00:348,-0.20,0.03,-0.31
18:10:00:350,-0.01,-0.01,-0.46
18:10:00:352,0.29,-0.00,-0.67
18:10:00:356,0.63,-0.02,-0.89
